datetime,open,high,low,close,volume
2023-06-22 00:15:00,1865.17,1896.43,1864.5,1894.45,4177.11618
2023-06-22 00:30:00,1894.45,1900.71,1883.71,1893.94,2793.21983
2023-06-22 00:45:00,1893.94,1894.32,1868.85,1870.4,2396.26071
2023-06-22 01:00:00,1870.4,1878.94,1856.88,1862.27,2049.74301
2023-06-22 01:15:00,1862.27,1872.43,1860.66,1864.5,1256.3766
2023-06-22 01:30:00,1864.5,1871.61,1863.32,1863.72,931.61137
2023-06-22 01:45:00,1863.72,1873.12,1863.27,1872.44,619.65048
2023-06-22 02:00:00,1872.44,1877.9,1871.06,1877.48,926.28467
2023-06-22 02:15:00,1877.48,1881.49,1875.5,1880.07,801.27229
2023-06-22 02:30:00,1880.07,1881.58,1877.21,1880.36,603.85159
2023-06-22 02:45:00,1880.36,1880.5,1871.15,1876.06,766.88064
2023-06-22 03:00:00,1876.06,1882.49,1869.95,1879.05,742.26413
2023-06-22 03:15:00,1879.05,1879.24,1867.55,1870.64,961.33012
2023-06-22 03:30:00,1870.64,1877.57,1870.18,1877.57,454.82464
2023-06-22 03:45:00,1877.57,1883.02,1876.56,1882.02,1166.57371
2023-06-22 04:00:00,1882.02,1886.46,1879.21,1885.12,773.36025
2023-06-22 04:15:00,1885.12,1886.38,1880.18,1884.3,622.50272
2023-06-22 04:30:00,1884.3,1888.38,1882.28,1884.08,430.85899
2023-06-22 04:45:00,1884.08,1884.08,1873.94,1879.85,1114.94382
2023-06-22 05:00:00,1879.85,1883.94,1872.47,1883.92,1020.7613
2023-06-22 05:15:00,1883.92,1885.98,1881.15,1882.53,486.99822
2023-06-22 05:30:00,1882.53,1884.64,1874.04,1874.45,300.69129
2023-06-22 05:45:00,1874.45,1877.82,1873.59,1874.98,114.64146
2023-06-22 06:00:00,1874.98,1878.93,1874.01,1876.53,887.4145
2023-06-22 06:15:00,1876.53,1880.7,1875.34,1879.92,477.95123
2023-06-22 06:30:00,1879.92,1887.5,1879.66,1885.14,841.08108
2023-06-22 06:45:00,1885.14,1894.91,1885.14,1893.39,1455.45962
2023-06-22 07:00:00,1893.39,1899.72,1891.41,1895.87,1511.42611
2023-06-22 07:15:00,1895.87,1901.68,1894.37,1896.58,1207.94158
2023-06-22 07:30:00,1896.58,1897.9,1894.44,1894.63,493.34607
2023-06-22 07:45:00,1894.63,1894.97,1889.37,1889.37,406.51641
2023-06-22 08:00:00,1889.37,1891.89,1884.0,1886.5,850.65949
2023-06-22 08:15:00,1886.5,1909.87,1885.73,1906.97,1441.51119
2023-06-22 08:30:00,1906.97,1918.93,1904.42,1918.0,2062.64507
2023-06-22 08:45:00,1918.0,1921.5,1908.35,1915.71,1074.37511
2023-06-22 09:00:00,1915.71,1921.09,1910.05,1920.86,785.06566
